ATG,ARG,BHS,BRB,BLZ,BOL,BRA,CAN,CHL,COL,CRI,CUB,DMA,ECU,SLV,USA,GRD,GTM,GUY,HTI,HND,JAM,MEX,NIC,PAN,PRY,PER,DOM,KNA,VCT,LCA,SUR,TTO,URY,VEN,TOTAL
3.8175,3.4340,7.4717,4.9263,1.7056,1.4102,1.4509,16.5781,2.4663,1.7453,0.9223,2.7900,0.8435,1.5749,0.4611,20.6421,1.0726,0.5473,1.5105,0.1437,0.4957,3.1468,3.8796,0.4835,1.0743,0.5261,0.9680,1.2535,2.6131,0.7165,1.2615,4.2091,13.4077,1.2728,6.1681,0
3.9142,3.5494,7.2332,5.4668,2.1810,1.4486,1.4960,16.0681,2.2778,1.7027,1.0150,2.5360,0.8475,1.5120,0.5777,20.1262,1.1016,0.5307,1.4871,0.1381,0.4862,3.2137,3.9607,0.4590,1.2408,0.5047,0.9192,1.3105,2.6196,0.7471,1.3205,4.8635,13.2955,1.4441,5.6883,0
3.8523,3.6115,6.6268,5.2332,1.8675,1.4895,1.4984,16.3687,2.3219,1.8119,1.1264,1.9096,0.8480,2.0120,0.5974,20.2771,1.1603,0.6181,1.3967,0.1233,0.5245,3.1663,3.9154,0.5359,1.6099,0.6032,0.9106,1.4027,2.6860,0.7442,1.4513,4.8398,14.8601,1.6307,5.1002,0
3.8950,3.4613,6.0522,4.2026,1.9434,1.5310,1.5419,16.2045,2.4358,1.8298,1.1426,1.8285,0.9002,2.1637,0.7060,20.3758,1.1832,0.5673,1.3975,0.0931,0.5350,3.2537,3.9016,0.5042,1.4516,0.6644,1.0158,1.4795,2.7389,0.9028,1.5779,4.8244,13.4555,1.3996,5.8552,0
3.9867,3.4350,6.0193,4.4457,1.8834,1.2527,1.5778,16.5291,2.6723,1.8993,1.4903,1.9640,1.0057,1.2608,0.7927,20.4530,1.3847,0.6688,1.9455,0.0245,0.5716,3.2963,3.9840,0.5444,1.5696,0.7573,1.0081,1.5273,2.8769,1.0610,1.7277,4.7878,11.7945,1.2635,5.5342,0
3.9630,3.5838,6.1400,4.8910,1.8539,1.1499,1.6431,16.7919,2.8829,1.6519,1.3437,2.0898,1.1645,2.0324,0.8696,20.4218,1.4434,0.6831,2.0862,0.1148,0.6600,3.6557,3.6806,0.5835,1.3449,0.8552,1.0284,1.9196,3.0120,1.1231,1.8035,4.7424,11.2648,1.4204,5.6421,0
4.1459,3.7055,5.9476,5.0950,1.4666,1.2537,1.7424,17.1724,3.2997,1.6355,1.2817,2.1283,1.0592,2.1486,0.7615,20.8673,1.4675,0.6180,2.1928,0.1311,0.6485,3.8247,3.7316,0.5916,1.6044,0.7893,0.9924,2.0574,3.0590,1.1540,1.9036,4.6920,14.0534,1.6752,5.2389,0
4.3721,3.8118,5.1856,5.8519,1.7887,1.4404,1.8212,17.4876,3.7775,1.7499,1.3147,2.2557,1.1666,1.6207,0.9269,20.8819,1.5966,0.6879,2.3918,0.1704,0.6527,3.9407,3.8921,0.6361,1.6372,0.8567,1.0939,2.1185,3.2714,1.1541,1.9089,4.6467,14.3465,1.6991,5.6285,0
4.4419,3.8364,6.3078,5.9630,1.6453,1.3578,1.8555,17.5910,3.8181,1.7341,1.3697,2.2018,1.1158,1.8927,0.9738,20.7852,1.6558,0.7725,2.4162,0.1532,0.7626,3.7624,4.0236,0.6820,2.0452,0.8904,1.0869,2.1478,3.3944,1.4120,2.0787,4.5575,15.0503,1.7283,7.2485,0
4.6648,4.0290,6.3492,6.2587,1.4955,1.2963,1.8864,17.9107,4.0463,1.4378,1.3938,2.2102,1.1731,1.7706,0.9433,20.7890,1.8176,0.7682,2.4168,0.1549,0.7263,3.8356,4.0097,0.7123,1.9103,0.8707,1.1261,2.1187,3.5944,1.4462,2.1298,4.5120,17.0258,2.0379,5.9686,0
4.7344,3.8512,6.2338,6.6077,1.6459,0.9815,1.9342,18.4822,3.8108,1.4431,1.3555,2.3209,1.5007,1.6574,0.9517,21.2825,1.7733,0.8320,2.3025,0.1955,0.7559,3.9484,4.0024,0.7264,1.9084,0.7038,1.0759,2.2236,3.7855,1.2875,2.1821,4.5768,18.2902,1.6001,5.8472,0
4.8548,3.5865,5.9022,6.2245,1.8017,0.9996,1.9424,18.0354,3.4088,1.4270,1.3980,2.2637,1.6124,1.8223,0.9782,20.6947,1.7990,0.8521,2.2954,0.1729,0.8285,4.0285,4.1022,0.7552,2.2715,0.7091,0.9408,2.2084,3.8222,1.5797,2.2357,4.8478,19.9887,1.5239,5.2465,0
